"Home \ Away","BUR","CAM","CRL","COL","CRE","DAR","DON","EXE","GRI","HAL","HAR","HER","LEY","LIN","PET","ROC","ROT","SCA","SCU","STP","TOR","TRA","WRE","YOR"
"Burnley","","2–0","0–0","2–0","1–0","0–1","3–0","3–0","1–0","2–1","0–0","3–3","2–2","1–4","1–1","2–1","1–0","0–1","0–1","1–0","1–0","2–2","1–3","6–0"
"Cambridge United","2–1","","3–2","3–1","1–1","1–3","0–0","2–0","4–1","2–1","6–0","2–1","2–2","2–3","2–1","2–0","1–1","2–2","0–3","1–0","3–0","1–1","2–0","1–1"
"Carlisle United","0–0","1–1","","1–2","0–1","1–2","0–1","1–0","2–1","3–1","2–1","3–0","2–1","2–1","2–2","1–0","0–2","0–1","0–3","1–1","2–1","1–1","1–2","0–0"
"Colchester United","2–2","1–2","1–1","","2–1","1–2","0–1","4–0","0–0","3–2","1–2","1–1","1–0","1–3","1–2","3–0","1–1","3–1","1–2","1–1","2–2","2–3","2–1","1–0"
"Crewe Alexandra","4–0","2–0","1–0","3–1","","2–0","0–2","2–1","2–2","2–2","3–0","2–1","2–1","2–0","1–1","3–1","1–3","1–1","3–2","1–1","0–0","2–1","2–2","1–2"
"Darlington","1–1","1–1","2–3","1–2","1–1","","1–3","2–2","1–1","0–2","0–0","0–0","1–3","2–1","2–2","1–2","1–1","2–1","3–3","1–4","0–0","1–2","2–1","2–2"
"Doncaster Rovers","1–0","1–1","1–3","3–1","0–1","1–0","","2–1","2–3","1–4","1–0","3–2","1–0","0–1","2–3","1–1","1–0","3–1","2–2","2–2","1–2","0–0","2–2","1–2"
"Exeter City","3–0","0–3","3–0","4–2","1–2","2–1","3–0","","2–1","4–1","2–1","3–1","1–1","0–1","3–1","5–1","0–0","1–0","2–2","2–2","3–0","0–1","0–2","2–0"
"Grimsby Town","1–0","4–0","0–0","2–2","0–0","0–0","5–0","2–1","","3–2","3–0","1–1","2–2","1–0","0–0","1–3","0–4","2–1","1–1","2–0","1–0","0–0","0–1","2–0"
"Halifax Town","1–2","0–0","3–3","3–2","0–1","1–0","2–0","0–3","2–1","","1–0","2–2","2–2","0–1","5–0","4–1","1–1","0–2","5–1","2–2","2–0","2–3","4–0","0–0"
"Hartlepool United","2–2","3–2","0–2","2–1","0–3","2–1","2–1","2–2","2–1","2–0","","1–1","1–0","3–2","2–1","0–1","1–1","3–1","0–2","2–2","0–1","2–2","1–3","0–1"
"Hereford United","0–0","4–2","2–1","1–1","0–1","1–1","3–1","1–0","2–1","3–1","2–0","","1–1","3–2","4–0","4–4","1–1","1–3","1–2","2–1","1–1","2–1","0–0","1–2"
"Leyton Orient","3–0","1–1","2–0","8–0","0–0","1–0","4–0","4–0","5–0","2–0","4–3","1–3","","3–1","1–2","3–0","3–1","2–3","4–1","1–2","3–1","2–0","0–1","4–0"
"Lincoln City","2–3","3–0","0–2","1–1","2–2","3–2","3–1","2–0","2–2","2–1","0–1","2–0","0–1","","1–1","4–1","0–1","2–2","1–0","0–0","1–0","2–1","4–3","2–1"
"Peterborough United","3–0","1–5","1–4","3–0","3–2","1–1","2–0","0–1","1–2","2–1","0–1","2–1","0–1","1–1","","1–0","0–3","1–4","1–2","1–0","3–1","1–1","1–0","0–1"
"Rochdale","2–1","2–1","0–0","1–1","2–1","2–2","2–0","2–1","0–2","1–1","0–0","2–2","0–3","2–2","0–0","","0–2","2–1","1–0","1–1","2–1","3–1","3–3","2–0"
"Rotherham United","3–1","0–0","2–1","2–0","1–2","1–2","3–0","0–1","1–0","2–0","4–0","6–0","4–1","2–0","1–1","3–1","","1–1","3–3","2–1","1–0","0–0","2–2","0–1"
"Scarborough","1–0","2–1","0–1","0–0","2–1","3–2","2–0","2–1","2–3","3–1","2–0","0–2","0–0","1–1","2–1","3–3","1–0","","1–0","1–1","5–2","0–0","0–3","0–0"
"Scunthorpe United","2–1","1–0","1–1","2–3","2–2","5–1","2–1","2–0","1–1","0–0","1–1","3–1","2–2","0–0","3–0","4–0","0–0","0–3","","1–1","1–0","0–1","3–1","4–2"
"Stockport County","0–0","0–0","1–1","1–0","0–1","0–0","2–0","4–0","3–1","1–1","3–0","1–2","0–0","1–0","1–2","3–0","1–3","2–2","1–2","","0–0","1–1","2–2","3–2"
"Torquay United","2–0","3–1","1–0","1–3","2–1","1–0","3–2","0–4","2–2","0–2","2–0","1–0","3–0","1–0","1–0","1–0","1–2","0–1","0–2","2–1","","3–2","0–0","2–0"
"Tranmere Rovers","2–1","1–2","0–0","0–0","1–1","2–0","2–2","2–0","3–2","2–0","2–1","1–0","3–0","1–0","1–0","2–0","0–0","1–1","2–1","1–0","3–0","","2–1","0–1"
"Wrexham","4–2","3–1","2–1","2–2","0–0","3–3","1–1","3–0","1–2","3–0","4–3","1–1","0–1","3–0","1–1","2–1","1–4","0–1","2–0","2–0","1–0","3–3","","2–1"
"York City","0–0","1–2","1–1","2–0","3–0","4–1","1–1","3–1","0–3","5–3","2–3","4–1","1–1","2–1","5–1","3–3","1–1","0–0","1–2","2–0","1–1","0–1","1–0",""
