"Home \ Away","BOU","BAR","BIR","BLB","BRA","B&HA","CHE","CRY","HUL","IPS","LEE","LEI","MCI","OLD","OXF","PLY","POR","SHR","STK","SUN","SWI","WAL","WAT","WBA"
"AFC Bournemouth","","3–2","0–1","2–1","3–0","2–1","1–0","2–0","5–1","1–0","0–0","2–1","0–1","2–2","2–1","0–0","1–0","0–1","0–1","0–1","2–3","2–1","0–1","2–1"
"Barnsley","5–2","","0–0","0–1","0–0","2–2","1–1","1–1","0–2","2–0","2–2","3–0","1–2","4–3","1–0","3–1","1–0","1–0","1–0","3–0","1–1","1–0","2–2","2–1"
"Birmingham City","0–1","3–5","","2–0","1–0","1–2","1–4","0–1","1–0","1–0","0–0","2–3","0–2","0–0","0–0","0–1","0–0","1–2","0–1","3–2","1–2","1–0","2–3","1–4"
"Blackburn Rovers","2–0","2–1","3–0","","2–1","2–1","1–1","5–4","4–0","1–0","2–0","0–0","4–0","3–1","3–1","1–2","3–1","0–1","4–3","2–2","0–0","3–0","2–1","1–2"
"Bradford City","0–1","1–2","2–2","1–1","","0–1","2–2","0–1","1–1","2–2","1–1","2–1","1–1","2–0","0–0","1–1","2–1","1–0","0–0","1–0","2–2","3–1","2–1","2–0"
"Brighton & Hove Albion","1–2","0–1","4–0","3–0","1–3","","0–1","3–1","1–1","0–1","2–1","1–1","2–1","2–0","2–1","2–2","2–1","3–1","1–1","3–0","0–2","2–2","1–0","0–1"
"Chelsea","2–0","5–3","3–1","1–2","3–1","2–0","","1–0","2–1","3–0","1–0","2–1","1–3","2–2","1–1","5–0","3–3","2–0","2–1","1–1","3–2","2–0","2–2","1–1"
"Crystal Palace","2–3","1–1","4–1","2–2","2–0","2–1","1–1","","3–1","2–0","0–0","4–2","0–0","2–0","1–0","4–1","2–0","1–1","1–0","1–0","2–1","4–0","0–2","1–0"
"Hull City","4–0","0–0","1–1","1–3","1–1","5–2","3–0","0–1","","1–1","1–2","2–2","1–0","1–1","1–2","3–0","1–1","3–0","1–4","0–0","1–0","0–0","0–3","0–1"
"Ipswich Town","3–1","2–0","4–0","2–0","1–1","2–3","0–1","1–2","1–1","","0–1","2–0","1–0","2–1","1–2","2–2","0–1","2–0","5–1","2–0","1–2","3–1","3–2","2–1"
"Leeds United","3–0","2–0","1–0","2–0","3–3","1–0","0–2","1–2","2–1","2–4","","1–1","1–1","0–0","1–1","2–0","1–0","2–3","4–0","2–0","0–0","1–0","0–1","2–1"
"Leicester City","0–1","0–1","2–0","4–0","1–0","1–0","2–0","2–2","0–2","0–1","1–2","","0–0","1–2","1–0","1–0","2–1","1–1","2–0","3–1","3–3","1–0","2–2","1–1"
"Manchester City","3–3","1–2","0–0","1–0","4–0","2–1","2–3","1–1","4–1","4–0","0–0","4–2","","1–4","2–1","2–0","4–1","2–2","2–1","1–1","2–1","2–2","3–1","1–1"
"Oldham Athletic","2–0","1–1","4–0","1–1","1–1","2–1","1–4","2–3","2–2","4–0","2–2","1–1","0–1","","3–0","2–2","5–3","3–0","2–2","2–2","2–2","3–0","3–1","1–3"
"Oxford United","3–1","2–0","3–0","1–1","3–4","3–2","2–3","1–0","1–0","1–1","3–2","1–1","2–4","1–1","","0–1","1–0","4–1","3–2","2–4","1–1","1–0","0–4","1–1"
"Plymouth Argyle","1–1","1–2","0–1","4–3","3–1","3–0","0–1","0–2","2–0","0–1","1–0","1–1","0–1","3–0","3–1","","0–1","0–0","4–0","1–4","4–1","2–0","1–0","1–1"
"Portsmouth","2–1","3–0","1–0","1–2","1–2","2–0","2–3","1–1","1–3","0–1","4–0","3–0","0–1","1–1","2–1","2–0","","2–0","0–0","2–0","0–2","1–1","2–2","0–0"
"Shrewsbury Town","1–0","2–3","0–0","1–1","1–3","1–1","1–1","2–1","1–3","1–5","3–3","3–0","0–1","0–0","2–2","2–0","1–2","","1–2","0–0","0–1","0–0","1–1","1–1"
"Stoke City","2–1","1–1","1–0","0–1","2–1","2–2","0–3","2–1","4–0","1–1","2–3","2–2","3–1","0–0","1–0","2–2","2–2","0–0","","2–0","2–1","0–3","2–0","0–0"
"Sunderland","1–1","1–0","2–2","2–0","0–0","1–0","1–2","1–1","2–0","4–0","2–1","2–2","2–4","3–2","1–0","2–1","4–0","2–1","1–1","","4–0","0–3","1–1","1–1"
"Swindon Town","3–1","0–0","2–1","1–1","1–0","3–0","1–1","1–0","1–0","2–3","0–0","2–1","1–2","2–2","3–0","1–0","1–1","1–0","3–0","4–1","","1–0","1–1","0–0"
"Walsall","1–1","1–3","5–0","1–2","0–1","1–0","0–7","0–0","1–1","2–4","0–3","0–1","3–3","2–2","1–5","2–2","1–1","1–1","1–2","2–0","2–2","","0–1","0–0"
"Watford","1–0","4–0","1–0","2–2","2–0","1–1","1–2","0–1","2–0","3–2","1–1","2–1","1–0","3–1","1–1","3–0","1–0","0–0","3–2","0–1","2–3","5–0","","2–0"
"West Bromwich Albion","0–0","1–1","0–0","2–0","1–0","1–0","2–3","5–3","2–0","1–2","2–1","1–1","1–0","3–1","3–2","2–2","3–0","4–0","6–0","0–0","3–1","0–0","0–1",""
