"Home \ Away","ALD","BLP","BOL","BRE","BRI","BRR","BRY","CAR","CHE","CHF","FUL","GIL","HUD","MAN","NOR","NTC","PTV","PNE","REA","SHU","STD","SWA","WIG","WOL"
"Aldershot","","1–0","0–3","0–0","0–1","1–3","4–1","0–1","1–1","2–0","1–2","0–2","0–1","0–0","5–1","2–3","2–2","2–1","1–1","1–0","2–2","0–1","3–1","1–2"
"Blackpool","4–0","","2–0","0–3","2–2","1–1","2–2","1–0","1–1","1–2","0–1","4–1","2–1","1–1","3–1","0–1","3–2","1–0","2–4","1–2","3–2","0–0","2–0","0–2"
"Bolton Wanderers","1–0","2–2","","4–2","2–0","1–1","2–4","4–0","0–1","5–0","3–2","2–1","3–1","0–0","2–1","3–3","1–1","1–0","1–1","2–0","0–0","1–0","1–1","1–2"
"Brentford","2–1","1–0","3–0","","3–0","2–1","2–2","1–1","0–1","1–0","0–1","1–0","1–0","1–0","2–0","2–1","2–1","0–2","3–2","1–4","4–0","1–1","1–1","2–2"
"Bristol City","1–1","1–2","1–1","0–1","","0–1","3–0","2–0","0–1","4–0","1–5","1–0","6–1","2–0","3–1","0–4","0–1","1–1","2–1","2–0","0–2","2–0","0–1","0–1"
"Bristol Rovers","2–2","1–0","2–0","1–2","1–1","","1–3","0–1","4–1","2–1","0–0","2–0","5–1","0–0","1–1","2–0","2–2","1–0","1–1","1–1","1–1","1–1","3–2","0–0"
"Bury","0–1","0–0","0–0","3–1","2–1","0–0","","1–0","2–1","2–1","3–1","1–0","0–6","0–1","0–1","1–1","0–0","1–1","2–1","1–2","3–1","1–0","1–1","3–1"
"Cardiff City","3–2","0–0","1–0","1–0","1–1","2–2","3–0","","2–0","0–1","1–2","1–0","3–0","0–0","1–0","0–1","3–0","0–0","1–2","0–0","2–0","2–2","2–2","1–1"
"Chester","1–1","1–1","0–0","3–2","2–0","0–2","2–0","0–0","","3–1","7–0","2–0","3–0","0–0","2–1","1–0","1–2","0–1","3–0","0–1","2–4","3–1","1–0","1–1"
"Chesterfield","2–1","0–2","1–1","2–2","1–0","0–3","1–2","4–0","1–2","","4–1","3–1","1–1","1–3","1–1","3–0","1–2","0–3","2–4","2–1","2–1","2–0","1–1","0–3"
"Fulham","5–1","1–1","1–1","3–3","3–1","0–2","1–0","2–0","4–1","2–1","","1–2","1–2","1–1","3–2","2–1","1–2","2–1","2–1","2–2","1–0","1–0","1–1","2–2"
"Gillingham","1–1","1–0","0–1","0–0","0–1","2–3","3–4","1–2","0–2","0–1","0–1","","1–2","3–0","1–0","2–1","1–0","1–3","0–1","2–1","1–1","2–3","2–1","1–3"
"Huddersfield Town","2–1","1–1","0–1","1–2","0–1","2–3","3–2","1–0","3–1","1–1","2–0","1–1","","2–0","1–2","3–1","0–0","2–0","2–2","3–2","3–2","1–1","1–1","0–0"
"Mansfield Town","1–1","0–1","1–1","1–0","2–2","2–1","1–1","2–2","2–0","3–1","3–1","2–1","1–0","","1–1","1–1","0–1","0–3","2–1","0–1","4–0","0–0","0–1","3–1"
"Northampton Town","6–0","4–2","2–3","1–0","1–3","1–2","2–0","3–0","0–2","3–0","2–1","1–2","1–3","2–1","","1–3","1–3","1–0","1–3","1–2","2–2","1–0","1–1","3–1"
"Notts County","4–1","1–1","2–0","3–0","0–0","1–0","3–0","2–0","2–2","4–0","0–1","1–2","3–0","2–1","0–1","","1–4","0–0","3–3","1–4","1–1","1–0","1–0","1–1"
"Port Vale","3–0","1–0","2–1","3–2","0–1","1–0","1–3","6–1","1–2","5–0","3–0","2–1","2–0","1–2","1–2","1–0","","1–1","3–0","3–3","2–0","2–1","2–1","0–0"
"Preston North End","2–2","1–0","3–1","5–3","2–0","1–1","1–0","3–3","3–3","6–0","1–4","5–0","1–0","2–0","3–2","3–0","1–3","","2–1","2–0","3–2","1–1","2–2","3–3"
"Reading","3–1","2–1","1–1","2–2","1–2","3–1","1–1","3–1","3–1","0–0","0–1","1–2","2–1","1–0","1–1","1–3","3–0","2–2","","1–3","4–0","2–0","0–3","0–2"
"Sheffield United","1–0","4–1","4–0","2–2","3–0","4–1","2–1","0–1","6–1","1–3","1–0","4–2","5–1","1–2","4–0","1–1","0–0","3–1","1–0","","1–2","5–1","2–1","2–0"
"Southend United","1–1","2–1","2–0","1–1","1–2","2–2","1–1","0–0","1–0","3–1","0–0","2–1","2–4","1–1","2–1","1–1","1–1","2–1","2–1","2–1","","0–2","1–2","3–1"
"Swansea City","1–0","1–2","1–0","1–1","1–1","1–2","1–1","1–1","1–1","2–0","2–0","3–2","1–0","3–1","1–0","2–0","0–0","1–1","2–0","2–2","2–0","","1–2","2–5"
"Wigan Athletic","2–1","2–1","1–1","1–1","0–1","3–0","1–0","1–0","3–0","0–2","0–1","3–0","0–2","0–0","1–3","0–1","0–2","1–1","3–0","1–2","3–0","1–2","","1–1"
"Wolverhampton Wanderers","1–0","2–1","1–0","2–0","2–0","0–1","4–0","2–0","3–1","1–0","5–2","6–1","4–1","6–2","3–2","0–0","3–3","6–0","2–1","2–2","3–0","1–1","2–1",""
