"Home \ Away","ALD","BUR","CAM","CRL","CHF","COL","DON","EXE","GIL","GRI","HAL","HAR","HER","LIN","MDS","PET","ROC","SCA","SCU","STD","STP","TOR","WRE","YOR"
"Aldershot","","1–1","0–2","1–0","0–0","4–0","1–1","0–1","1–0","0–0","2–0","6–1","0–2","0–1","0–2","0–1","1–1","1–1","4–2","0–5","2–1","1–2","1–0","2–2"
"Burnley","0–0","","1–3","2–1","0–0","0–0","0–1","1–0","1–2","1–1","1–0","0–0","3–1","0–0","1–1","1–2","0–1","3–0","0–1","0–0","0–0","1–0","2–3","1–1"
"Cambridge United","2–2","0–1","","1–2","0–1","4–0","1–0","3–2","2–1","2–0","1–0","2–1","0–1","2–1","2–0","3–2","0–3","5–2","5–3","2–1","0–2","5–2","1–1","2–2"
"Carlisle United","1–3","1–1","3–1","","4–3","1–0","1–0","1–0","3–0","1–1","1–1","1–0","2–1","1–2","3–2","0–0","0–1","3–1","0–1","3–0","3–1","2–0","1–0","2–1"
"Chesterfield","2–0","0–1","1–1","3–0","","1–1","0–1","2–1","2–0","2–0","4–3","3–1","2–1","0–0","3–1","1–1","2–1","2–2","1–1","1–1","1–1","5–1","3–0","0–0"
"Colchester United","1–0","1–2","1–2","4–0","1–0","","2–0","0–1","2–0","1–0","2–2","3–1","1–1","0–1","4–1","0–1","1–2","0–0","1–0","0–2","0–1","0–3","1–3","0–2"
"Doncaster Rovers","0–1","2–3","2–1","1–1","1–0","2–0","","2–1","0–0","0–0","3–4","2–2","0–1","0–1","1–1","0–3","4–0","1–1","1–2","0–1","2–1","2–1","2–2","1–2"
"Exeter City","2–0","2–1","3–2","0–0","2–1","2–1","1–0","","3–1","2–1","2–0","3–1","2–0","3–0","2–0","2–0","5–0","3–2","1–0","2–1","1–1","3–0","1–1","3–1"
"Gillingham","0–0","0–0","1–0","2–1","3–0","3–3","3–1","1–1","","1–2","3–1","0–0","0–1","1–1","1–2","0–0","1–0","2–0","0–3","5–0","0–3","0–2","1–0","0–0"
"Grimsby Town","2–1","4–2","0–0","1–0","0–1","4–1","2–1","1–0","2–0","","1–1","0–0","0–2","1–0","2–3","1–2","1–2","3–0","2–1","2–0","4–2","0–0","5–1","3–0"
"Halifax Town","4–2","0–0","0–0","1–1","1–1","1–1","0–2","1–2","0–1","2–2","","4–0","1–1","0–1","1–2","2–2","1–0","1–2","0–1","1–2","1–2","3–1","4–2","2–2"
"Hartlepool United","2–0","3–0","1–2","1–0","3–1","0–2","0–6","0–3","1–2","4–2","2–0","","1–2","1–1","4–2","2–2","2–1","4–1","3–2","1–1","5–0","1–1","3–0","1–2"
"Hereford United","4–1","0–1","0–2","2–2","3–2","2–0","0–1","2–1","1–2","0–1","0–1","4–1","","2–2","3–0","1–2","1–3","3–1","1–2","0–3","1–2","0–0","0–0","1–2"
"Lincoln City","0–1","1–0","4–3","1–3","1–1","2–1","2–1","1–5","1–3","1–1","2–1","4–1","1–0","","1–2","1–0","1–2","0–0","1–0","2–0","0–0","2–2","1–0","0–0"
"Maidstone United","5–1","1–2","2–2","5–2","0–1","4–1","1–0","1–0","0–1","2–2","1–2","4–2","2–0","2–0","","1–1","2–0","4–1","1–1","3–0","0–1","5–1","2–0","1–0"
"Peterborough United","1–1","4–1","1–2","3–0","1–1","1–0","2–1","4–3","1–1","1–1","3–0","0–2","1–1","1–0","1–0","","0–1","1–2","1–1","1–2","2–0","1–1","3–1","1–1"
"Rochdale","2–0","2–1","2–0","1–2","1–0","2–2","1–3","1–0","1–0","0–1","0–2","0–0","5–2","1–0","3–2","1–2","","1–0","3–0","0–1","1–1","0–0","0–3","0–1"
"Scarborough","1–0","4–2","1–1","2–1","2–3","2–2","1–2","1–2","0–1","3–1","2–3","4–1","0–1","2–0","0–1","2–1","2–1","","0–0","1–1","2–0","0–0","2–1","1–3"
"Scunthorpe United","3–2","3–0","1–1","2–3","0–1","4–0","4–1","5–4","0–0","2–2","1–1","0–1","3–3","1–1","1–0","0–0","0–1","0–1","","1–1","5–0","2–0","3–1","1–1"
"Southend United","5–0","3–2","0–0","2–0","0–2","0–2","2–0","1–2","2–0","0–2","2–0","3–0","2–0","2–0","0–1","0–0","3–2","1–0","0–0","","2–0","1–0","2–1","2–0"
"Stockport County","1–1","3–1","3–1","3–1","3–1","1–1","3–1","2–1","1–0","2–4","0–1","6–0","2–1","1–1","1–2","0–0","2–1","3–2","4–2","1–0","","1–1","0–2","2–2"
"Torquay United","1–2","0–1","3–0","1–2","1–0","4–1","2–0","0–2","0–2","0–3","1–0","4–3","1–1","0–3","2–1","2–1","1–0","3–2","0–3","3–0","3–0","","0–1","1–1"
"Wrexham","2–2","1–0","2–3","1–0","0–2","3–2","0–0","1–1","2–1","0–1","2–1","1–2","0–0","0–2","4–2","2–1","1–1","0–2","0–0","3–3","0–1","1–1","","2–0"
"York City","2–2","1–3","4–2","0–1","4–0","3–1","2–1","3–0","1–0","0–1","0–2","1–1","1–2","0–0","0–0","1–0","1–0","1–2","0–1","2–1","0–3","1–1","1–0",""
