"Home \ Away","BAR","BLB","BOU","BRA","B&HA","HUL","IPS","LEE","LEI","MID","NEW","OLD","OXF","PLY","PTV","POR","SHU","STK","SUN","SWI","WAT","WBA","WHU","WOL"
"Barnsley","","0–0","0–1","2–0","1–0","1–1","0–1","1–0","2–2","1–1","1–1","1–0","1–0","1–1","0–3","0–1","1–2","3–2","1–0","0–1","0–1","2–2","1–1","2–2"
"Blackburn Rovers","5–0","","1–1","2–2","1–1","0–0","2–2","1–2","2–4","2–4","2–0","1–0","2–2","2–0","1–0","2–0","0–0","3–0","1–1","2–1","2–2","2–1","5–4","2–3"
"Bournemouth","2–1","2–4","","1–0","0–2","5–4","3–1","0–1","2–3","2–2","2–1","2–0","0–1","2–2","1–0","0–1","0–1","2–1","0–1","1–2","0–0","1–1","1–1","1–1"
"Bradford City","0–0","0–1","1–0","","2–0","2–3","1–0","0–1","2–0","0–1","3–2","1–1","1–2","0–1","2–2","1–1","1–4","1–0","0–1","1–1","2–1","2–0","2–1","1–1"
"Brighton & Hove Albion","1–1","1–2","2–1","2–1","","2–0","1–0","2–2","1–0","1–0","0–3","1–1","0–1","2–1","2–0","0–0","2–2","1–4","1–2","1–2","1–0","0–3","3–0","1–1"
"Hull City","1–2","2–0","1–4","2–1","0–2","","4–3","0–1","1–1","0–0","1–3","0–0","1–0","3–3","2–1","1–2","0–0","0–0","3–2","2–3","0–0","0–2","1–1","2–0"
"Ipswich Town","3–1","3–1","1–1","1–0","2–1","0–1","","2–2","2–2","3–0","2–1","1–1","1–0","3–0","3–2","0–1","1–1","2–2","1–1","1–0","1–0","3–1","1–0","1–3"
"Leeds United","1–2","1–1","3–0","1–1","3–0","4–3","1–1","","2–1","2–1","1–0","1–1","2–1","2–1","0–0","2–0","4–0","2–0","2–0","4–0","2–1","2–2","3–2","1–0"
"Leicester City","2–2","0–1","2–1","1–1","1–0","2–1","0–1","4–3","","2–1","2–2","3–0","0–0","1–1","2–0","1–1","2–5","2–1","2–3","2–1","1–1","1–3","1–0","0–0"
"Middlesbrough","0–1","0–3","2–1","2–0","2–2","1–0","1–2","0–2","4–1","","4–1","1–0","1–0","0–2","2–3","2–0","3–3","0–1","3–0","0–2","1–2","0–0","0–1","4–2"
"Newcastle United","4–1","2–1","3–0","1–0","2–0","2–0","2–1","5–2","5–4","2–2","","2–1","2–3","3–1","2–2","1–0","2–0","3–0","1–1","0–0","2–1","2–1","2–1","1–4"
"Oldham Athletic","2–0","2–0","4–0","2–2","1–1","3–2","4–1","3–1","1–0","2–0","1–1","","4–1","3–2","2–1","3–3","0–2","2–0","2–1","2–2","1–1","2–1","3–0","1–1"
"Oxford United","2–3","1–1","1–2","2–1","0–1","0–0","2–2","2–4","4–2","3–1","2–1","0–1","","3–2","0–0","2–1","3–0","3–0","0–1","2–2","1–1","0–1","0–2","2–2"
"Plymouth Argyle","2–1","2–2","1–0","1–1","2–1","1–2","1–0","1–1","3–1","1–2","1–1","2–0","2–0","","1–2","0–2","0–0","3–0","3–0","0–3","0–0","2–2","1–1","0–1"
"Port Vale","2–1","0–0","1–1","3–2","2–1","1–1","5–0","0–0","2–1","1–1","1–2","2–0","1–2","3–0","","1–1","1–1","0–0","1–2","2–0","1–0","2–1","2–2","3–1"
"Portsmouth","2–1","1–1","2–1","3–0","3–0","2–2","2–3","3–3","2–3","3–1","1–1","2–1","2–1","0–3","2–0","","3–2","0–0","3–3","1–1","1–2","1–1","0–1","1–3"
"Sheffield United","1–2","1–2","4–2","1–1","5–4","0–0","2–0","2–2","1–1","1–0","1–1","2–1","2–1","1–0","2–1","2–1","","2–1","1–3","2–0","4–1","3–1","0–2","3–0"
"Stoke City","0–1","0–1","0–0","1–1","3–2","1–1","0–0","1–1","0–1","0–0","2–1","1–2","1–2","0–0","1–1","1–2","0–1","","0–2","1–1","2–2","2–1","1–1","2–0"
"Sunderland","4–2","0–1","3–2","1–0","2–1","0–1","2–4","0–1","2–2","2–1","0–0","2–3","1–0","3–1","2–2","2–2","1–1","2–1","","2–2","4–0","1–1","4–3","1–1"
"Swindon Town","0–0","4–3","2–3","3–1","1–2","1–3","3–0","3–2","1–1","1–1","1–1","3–2","3–0","3–0","3–0","2–2","0–2","6–0","0–2","","2–0","2–1","2–2","3–1"
"Watford","2–2","3–1","2–2","7–2","4–2","3–1","3–3","1–0","3–1","1–0","0–0","3–0","0–1","1–2","1–0","1–0","1–3","1–1","1–1","0–2","","0–2","0–1","3–1"
"West Bromwich Albion","7–0","2–2","2–2","2–0","3–0","1–1","1–3","2–1","0–1","0–0","1–5","2–2","3–2","0–3","2–3","0–0","0–3","1–1","1–1","1–2","2–0","","1–3","1–2"
"West Ham United","4–2","1–1","4–1","2–0","3–1","1–2","2–0","0–1","3–1","2–0","0–0","0–2","3–2","3–2","2–2","2–1","5–0","0–0","5–0","1–1","1–0","2–3","","4–0"
"Wolverhampton Wanderers","1–1","1–2","3–1","1–1","2–4","1–2","2–1","1–0","5–0","2–0","0–1","1–1","2–0","1–0","2–0","5–0","1–2","0–0","0–1","2–1","1–1","2–1","1–0",""
