"Home \ Away","BIR","BLP","BOL","BRE","BRI","BRR","BRY","CAR","CHR","CRE","FUL","HUD","LEY","MAN","NOR","NTC","PNE","REA","ROT","SHR","SWA","TRA","WAL","WIG"
"Birmingham City","","3–1","1–0","0–1","0–4","2–2","0–0","1–1","0–0","3–0","1–1","0–1","0–0","4–1","4–0","1–2","3–1","0–1","4–1","0–1","2–0","2–1","2–0","0–0"
"Blackpool","3–2","","2–1","4–0","1–3","0–3","0–1","1–0","1–3","1–3","0–1","2–2","1–0","3–1","1–0","0–0","2–2","0–0","1–2","0–1","2–2","0–3","4–3","0–0"
"Bolton Wanderers","3–1","2–0","","0–1","1–0","1–0","3–1","3–1","1–0","0–0","0–0","2–2","2–1","1–1","0–3","3–0","2–1","3–0","0–2","0–1","0–0","1–1","1–1","3–2"
"Brentford","0–1","5–0","1–2","","0–2","2–1","0–1","0–1","1–1","0–2","2–0","2–1","4–3","2–1","3–2","0–1","2–2","1–1","4–2","1–1","2–1","2–4","4–0","3–1"
"Bristol City","1–0","2–0","1–1","2–0","","0–0","1–0","1–0","1–0","4–1","5–1","1–1","2–1","1–1","3–1","2–0","2–1","0–1","0–0","2–1","1–3","1–3","4–0","3–0"
"Bristol Rovers","0–0","1–1","1–1","1–0","3–0","","2–1","2–1","2–1","1–1","2–0","2–2","0–0","1–1","4–2","3–2","3–0","0–0","2–0","1–0","2–0","2–0","2–0","6–1"
"Bury","0–0","2–0","2–0","0–2","1–1","0–0","","2–0","1–0","0–3","0–0","6–0","2–0","3–0","1–0","3–2","1–2","4–0","1–1","0–0","3–2","1–2","0–2","2–2"
"Cardiff City","0–1","2–2","0–2","2–2","0–3","1–1","3–1","","1–1","0–0","3–3","1–5","1–1","1–0","2–3","1–3","3–0","3–2","2–0","0–1","0–2","0–0","3–1","1–1"
"Chester","4–0","2–0","2–0","1–1","0–3","0–0","1–4","1–0","","2–1","0–2","2–1","1–0","0–2","0–1","3–3","3–1","1–1","2–0","1–0","1–0","2–2","1–1","0–0"
"Crewe Alexandra","0–2","2–0","2–2","2–3","0–1","1–0","2–1","1–1","0–0","","2–3","3–0","0–1","2–1","2–1","1–0","1–0","1–1","0–0","1–1","1–1","2–2","3–1","3–2"
"Fulham","1–2","0–0","2–2","1–0","0–1","1–2","2–2","2–5","1–0","1–1","","0–0","1–2","1–0","1–1","5–2","3–1","1–2","1–1","2–1","2–0","1–2","0–0","4–0"
"Huddersfield Town","1–2","2–2","1–1","1–0","2–1","1–1","2–1","2–3","4–1","0–1","0–1","","2–0","1–0","2–2","1–2","0–2","0–1","2–1","1–1","1–0","1–0","1–0","2–0"
"Leyton Orient","1–2","2–0","0–0","0–1","1–1","0–1","2–3","3–1","0–3","2–1","1–1","1–0","","3–1","1–1","0–1","3–1","4–1","1–1","1–0","0–2","0–1","1–1","1–0"
"Mansfield Town","5–2","0–3","0–1","2–3","1–0","0–1","1–0","1–0","1–0","2–1","3–0","1–2","1–0","","1–2","1–3","2–2","1–1","3–1","2–1","4–0","1–0","0–2","1–0"
"Northampton Town","2–2","4–2","0–2","0–2","2–0","1–2","0–1","1–1","1–0","3–1","2–2","1–0","0–1","1–2","","0–0","1–2","2–1","1–2","2–1","1–1","0–4","1–1","1–1"
"Notts County","3–2","0–1","2–1","3–1","0–0","3–1","0–4","2–1","0–0","2–0","2–0","1–0","1–0","4–2","3–2","","2–1","0–0","2–0","4–0","2–1","1–0","2–0","1–1"
"Preston North End","2–2","2–1","1–4","4–2","2–2","0–1","2–3","4–0","5–0","0–0","1–0","3–3","0–3","4–0","0–0","2–4","","1–0","0–1","2–1","2–0","2–2","2–0","1–1"
"Reading","0–2","1–1","2–0","1–0","1–1","0–1","1–0","0–1","1–1","1–1","3–2","0–0","1–1","1–0","3–2","1–1","6–0","","3–2","3–3","1–1","1–0","0–1","2–0"
"Rotherham United","5–1","1–1","1–0","2–1","1–2","3–2","1–3","4–0","5–0","1–3","2–1","0–0","5–2","0–0","2–0","1–2","3–1","1–1","","4–2","3–2","0–0","2–2","1–2"
"Shrewsbury Town","2–0","1–1","3–3","1–0","0–1","2–3","3–1","0–0","2–0","0–0","2–0","3–3","4–2","0–1","2–0","2–2","2–0","1–1","1–1","","1–1","3–1","2–0","1–3"
"Swansea City","1–1","0–0","0–0","2–1","0–5","0–0","0–1","0–1","2–1","3–2","4–2","1–3","0–1","1–0","1–1","0–0","2–1","1–6","1–0","0–1","","1–0","2–0","3–0"
"Tranmere Rovers","5–1","4–2","1–3","2–2","6–0","1–2","2–4","3–0","0–0","1–1","2–1","4–0","3–0","1–1","0–0","2–0","2–1","3–1","2–1","3–1","3–0","","2–1","2–0"
"Walsall","0–1","1–1","2–1","2–1","0–2","1–2","2–2","0–2","1–1","1–1","0–0","2–3","1–3","1–0","1–0","2–2","1–0","1–1","1–1","0–2","0–1","2–1","","1–2"
"Wigan Athletic","1–0","1–1","2–0","2–1","2–3","1–2","0–0","1–1","1–0","1–0","2–1","1–2","0–2","4–0","0–0","1–1","0–1","3–1","0–3","0–0","2–0","1–3","3–0",""
