"Home \ Away","ALD","BLP","BUR","CAR","CRL","CHF","DAR","DON","GIL","HAL","HAR","HER","LIN","MDS","NOR","PET","ROC","SCA","SCU","STP","TOR","WAL","WRE","YOR"
"Aldershot","","1–4","1–2","0–0","3–0","1–0","0–2","1–1","1–0","2–2","1–5","1–0","0–3","4–3","3–3","5–0","2–2","2–2","3–2","2–2","2–3","0–4","3–2","0–1"
"Blackpool","4–2","","1–2","3–0","6–0","3–0","1–2","2–0","2–0","2–0","2–0","3–0","5–0","2–2","2–1","1–1","0–0","3–1","3–1","3–2","1–0","1–2","4–1","1–0"
"Burnley","3–0","2–0","","2–0","2–1","0–1","3–1","1–0","2–2","2–1","4–0","2–1","2–2","2–1","3–0","4–1","1–0","2–1","1–1","3–2","1–1","2–0","2–0","0–0"
"Cardiff City","1–3","1–1","3–0","","3–1","2–1","0–1","0–2","2–0","1–0","1–0","0–2","0–1","0–0","1–0","1–1","0–1","0–0","1–0","3–3","3–3","0–2","1–0","2–1"
"Carlisle United","1–2","1–0","1–1","3–2","","1–0","0–2","2–3","0–4","0–3","1–0","0–1","0–0","1–0","4–1","3–2","1–1","4–1","0–3","1–0","3–1","0–3","2–0","1–0"
"Chesterfield","1–0","2–2","2–1","0–0","4–1","","2–2","2–1","1–1","2–1","2–3","1–0","1–1","1–2","0–0","2–2","1–1","0–1","1–0","1–1","1–1","2–2","2–1","2–2"
"Darlington","3–1","1–1","3–1","4–1","3–1","1–0","","1–1","1–1","3–0","0–1","3–1","1–1","1–1","1–1","0–1","2–0","2–1","0–0","1–0","3–0","1–0","1–0","0–0"
"Doncaster Rovers","3–0","1–0","2–1","1–1","4–0","0–1","0–1","","1–1","1–2","2–2","3–1","1–0","3–0","2–1","0–2","1–0","0–2","2–3","1–0","1–1","2–0","3–1","2–2"
"Gillingham","1–1","2–2","3–2","4–0","2–1","0–1","1–0","2–0","","1–0","3–0","2–1","2–2","0–2","0–0","2–3","2–2","1–1","1–1","1–3","2–2","1–0","2–3","0–0"
"Halifax Town","3–0","5–3","1–2","1–2","1–1","2–1","0–0","0–1","1–2","","1–2","0–4","1–1","3–2","2–1","1–1","2–0","1–2","0–0","0–0","0–1","5–2","2–0","2–1"
"Hartlepool United","1–0","1–2","0–0","0–2","4–1","2–0","0–0","1–1","1–0","2–1","","2–1","2–0","1–0","3–1","2–0","2–2","2–0","2–0","3–1","0–0","2–1","2–1","0–1"
"Hereford United","1–0","1–1","3–0","1–1","4–2","2–3","1–1","1–1","1–1","1–0","1–3","","0–1","4–0","1–2","0–0","2–0","3–3","2–0","0–0","0–0","0–0","1–0","2–0"
"Lincoln City","2–2","0–1","1–0","0–0","6–2","1–1","0–3","0–0","1–1","1–0","3–1","1–1","","2–1","3–1","0–2","1–2","2–0","1–2","0–3","3–2","2–1","0–0","2–1"
"Maidstone United","1–1","1–1","1–0","3–0","0–0","1–0","2–3","0–1","3–1","5–1","1–4","1–1","4–1","","1–3","2–0","0–1","0–1","6–1","2–3","2–2","1–3","0–2","5–4"
"Northampton Town","2–1","1–0","0–0","0–0","1–1","1–2","0–3","0–0","2–1","1–0","3–2","3–0","1–1","2–0","","1–2","3–2","0–2","2–1","1–0","1–4","5–0","1–0","2–1"
"Peterborough United","3–2","2–0","3–2","3–0","1–1","2–1","2–2","1–1","2–0","2–0","1–1","3–0","2–0","2–0","1–0","","1–1","2–0","0–0","0–0","1–2","0–0","2–2","2–0"
"Rochdale","4–0","2–1","0–0","0–0","0–1","3–0","1–1","0–3","1–3","1–1","0–0","2–1","0–0","3–2","1–1","0–3","","1–1","2–1","1–0","0–0","3–2","2–0","2–1"
"Scarborough","2–0","0–1","0–1","1–2","1–1","1–0","1–1","2–1","2–1","4–1","2–0","2–1","3–0","0–2","1–1","3–1","0–0","","3–1","0–2","1–0","1–0","4–2","2–2"
"Scunthorpe United","6–2","2–0","1–3","0–2","2–0","3–0","2–1","1–1","1–0","4–4","2–1","3–0","2–1","2–2","3–0","1–1","2–1","3–0","","3–0","3–0","1–0","2–0","2–1"
"Stockport County","3–2","0–0","2–2","1–1","3–1","3–1","3–1","0–0","1–1","5–1","1–3","4–2","4–0","1–0","2–0","2–1","3–0","2–2","5–0","","2–1","3–0","2–0","2–0"
"Torquay United","5–0","2–1","2–0","2–1","3–0","2–0","2–1","1–0","3–1","3–1","0–1","1–1","0–1","1–1","0–0","0–0","3–1","2–0","1–1","1–1","","0–0","1–0","2–1"
"Walsall","2–2","2–0","1–0","0–0","1–1","3–0","2–2","1–0","0–0","3–1","0–1","0–0","0–0","0–0","3–3","0–1","0–1","0–0","3–0","0–2","2–2","","1–0","1–1"
"Wrexham","4–2","0–1","2–4","1–0","3–0","1–1","1–1","2–1","3–0","1–2","2–2","1–2","2–2","2–2","0–2","0–0","2–1","1–2","1–0","1–3","2–1","1–1","","0–4"
"York City","2–0","0–1","2–0","1–2","2–0","0–2","0–1","3–1","1–1","3–3","0–0","1–0","1–0","0–1","0–1","0–4","0–2","2–0","2–2","0–2","0–0","1–0","0–0",""
