"Home \ Away","BIR","BOL","BOU","BRA","BRE","BRY","CAM","CHR","CRE","EXE","FUL","GRI","HUD","LEY","MAN","PNE","REA","ROT","SHR","STD","STK","SWA","TRA","WIG"
"Birmingham City","","1–3","0–0","1–1","0–2","1–0","0–3","1–0","0–2","1–1","2–0","0–0","1–2","3–1","0–0","1–1","1–1","2–1","0–1","1–1","2–1","2–0","1–0","0–0"
"Bolton Wanderers","3–1","","4–1","0–1","1–0","1–3","2–2","1–0","3–2","1–0","3–0","0–0","1–1","1–0","1–1","1–2","3–1","0–0","1–0","1–0","0–1","1–0","2–1","2–1"
"Bournemouth","1–2","1–0","","3–1","2–0","1–1","0–1","1–0","1–1","2–1","3–0","2–1","3–1","2–2","0–0","0–0","2–0","4–2","3–2","3–1","1–1","1–0","1–0","0–3"
"Bradford City","2–0","1–1","3–0","","0–1","3–1","0–1","2–1","2–0","3–0","0–0","0–2","2–2","4–0","1–0","2–1","2–1","1–0","2–4","2–1","1–2","0–1","1–2","2–1"
"Brentford","2–2","4–2","0–0","6–1","","2–2","0–3","0–1","1–0","1–0","1–2","1–0","1–0","1–0","0–0","2–0","1–0","1–2","3–0","0–1","0–4","2–0","0–2","1–0"
"Bury","0–1","2–2","2–4","0–0","1–1","","3–1","2–1","1–3","3–1","1–1","3–2","2–1","1–0","1–0","3–1","2–1","3–1","2–1","0–1","1–1","1–0","3–0","2–2"
"Cambridge United","0–1","2–1","4–0","2–1","0–0","2–2","","1–1","3–4","1–0","1–0","1–0","0–0","1–0","2–1","1–1","3–0","4–1","3–1","1–4","3–0","2–0","3–1","2–3"
"Chester","0–1","0–2","0–0","4–2","1–2","1–0","0–2","","3–1","1–2","1–0","1–2","1–2","2–0","1–0","1–1","1–0","1–2","3–2","1–0","1–1","2–1","0–2","1–2"
"Crewe Alexandra","1–1","1–3","0–2","0–0","3–3","2–2","3–1","1–3","","1–1","1–1","1–2","1–1","3–3","3–0","2–2","1–0","3–1","1–2","0–2","1–2","3–0","2–3","1–0"
"Exeter City","0–2","2–1","2–0","2–2","1–1","2–0","0–1","1–1","3–0","","0–1","0–0","2–2","2–0","2–0","4–0","1–3","2–0","3–0","1–2","2–0","2–0","0–0","1–0"
"Fulham","2–2","0–1","1–1","0–0","0–1","2–0","0–2","4–1","2–1","3–2","","0–0","0–0","1–1","1–0","1–0","1–1","2–0","4–0","0–3","0–1","1–1","1–2","1–2"
"Grimsby Town","0–0","0–1","5–0","1–1","2–0","0–1","1–0","2–0","0–1","2–1","3–0","","4–0","2–2","2–0","4–1","3–0","2–1","1–0","1–0","2–0","1–0","0–1","4–3"
"Huddersfield Town","0–1","4–0","1–3","1–2","1–2","2–1","3–1","1–1","3–1","1–0","1–0","1–1","","1–0","2–2","1–0","0–2","4–0","2–1","1–2","3–0","1–2","2–1","1–0"
"Leyton Orient","1–1","0–1","2–0","2–1","1–2","1–0","0–3","1–0","3–2","1–0","1–0","0–2","1–0","","2–1","1–0","4–0","3–0","3–2","0–1","0–2","3–0","4–0","1–1"
"Mansfield Town","1–2","4–0","1–1","0–1","0–2","0–1","2–2","1–0","1–3","0–2","1–1","1–1","0–0","3–3","","0–1","2–0","1–2","2–1","0–1","0–0","2–0","0–2","1–1"
"Preston North End","2–0","1–2","0–0","0–3","1–1","1–1","0–2","0–0","5–1","1–0","1–0","1–3","1–1","2–1","3–1","","1–2","1–2","4–3","2–1","2–0","2–0","0–4","2–1"
"Reading","2–2","0–1","2–1","1–2","1–2","1–0","2–2","2–2","2–1","1–0","1–0","2–0","1–2","1–2","2–1","3–3","","2–0","1–2","2–4","1–0","0–0","1–0","3–1"
"Rotherham United","1–1","2–2","1–1","0–2","2–2","0–3","3–2","2–1","1–1","2–4","3–1","1–4","1–3","0–0","1–1","1–0","0–2","","2–2","0–1","0–0","2–3","1–1","5–1"
"Shrewsbury Town","4–1","0–1","3–1","1–0","1–1","1–1","1–2","1–0","1–0","2–2","2–2","1–2","0–0","3–0","0–3","0–1","5–1","0–0","","0–1","2–0","1–2","0–1","0–0"
"Southend United","2–1","1–1","2–1","1–1","0–1","2–1","0–0","1–1","3–2","2–1","1–1","2–0","0–1","1–1","2–1","3–2","1–2","2–1","2–1","","1–0","4–1","1–0","0–2"
"Stoke City","0–1","2–2","1–3","2–1","2–2","2–2","1–1","2–3","1–0","2–1","2–1","0–0","2–0","1–2","3–1","0–1","0–1","3–1","1–3","4–0","","2–2","1–1","2–0"
"Swansea City","2–0","1–2","1–2","0–2","2–2","1–2","0–0","1–0","3–1","0–3","2–2","0–0","1–0","0–0","1–2","3–1","3–1","5–0","0–1","1–4","2–1","","1–1","1–6"
"Tranmere Rovers","1–0","1–1","1–0","2–1","2–1","1–2","2–0","1–2","2–0","1–0","1–1","1–2","2–0","3–0","6–2","2–1","0–0","1–2","1–1","3–1","1–2","2–1","","1–1"
"Wigan Athletic","1–1","2–1","2–0","3–0","1–0","1–2","0–1","2–0","1–0","4–1","2–0","2–0","1–1","1–2","0–2","2–1","1–0","2–0","2–2","4–1","4–0","2–4","0–1",""
